area,year,quarter,count
Uttaradit,2019,q1,27
Uttaradit,2019,q2,145
Uttaradit,2019,q3,292
Uttaradit,2019,q4,75
Uttaradit,2020,q1,28
Uttaradit,2020,q2,123
Uttaradit,2020,q3,329
Uttaradit,2020,q4,73
Yala,2019,q1,131
Yala,2019,q2,271
Yala,2019,q3,377
Yala,2019,q4,135
Yala,2020,q1,56
Yala,2020,q2,63
Yala,2020,q3,122
Yala,2020,q4,36
Yasothon,2019,q1,64
Yasothon,2019,q2,182
Yasothon,2019,q3,203
Yasothon,2019,q4,75
Yasothon,2020,q1,32
Yasothon,2020,q2,51
Yasothon,2020,q3,129
Yasothon,2020,q4,14
