area,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Nakhon Si Thammarat,2019,210,203,159,120,141,314,539,337,327,298,270,175
Nakhon Si Thammarat,2020,134,77,43,25,44,104,117,88,42,28,15,5
Nan,2011,0,1,0,1,4,5,5,2,3,0,0,0
Nan,2012,0,1,0,0,6,34,40,31,14,12,9,3
Nan,2013,4,13,14,27,50,140,259,131,50,16,10,1
Nan,2014,1,0,0,25,86,143,72,47,22,3,0,2
Nan,2015,0,0,2,13,60,73,101,77,47,16,8,7
Nan,2016,1,4,6,3,17,45,32,28,4,15,11,15
Nan,2017,10,7,2,13,67,63,58,33,17,18,14,2
Nan,2018,6,0,7,8,66,103,97,45,10,5,2,1
Nan,2019,3,8,2,18,24,61,55,52,69,43,27,3
Nan,2020,3,0,7,31,19,40,60,30,11,11,10,1
Narathiwat,2011,23,10,8,10,16,16,13,15,11,11,14,26
Narathiwat,2012,19,26,14,7,13,11,5,16,5,18,36,27
Narathiwat,2013,32,28,35,19,18,47,96,84,60,48,45,26
Narathiwat,2014,34,19,3,6,13,15,44,75,67,66,48,25
Narathiwat,2015,13,15,15,7,7,9,36,43,29,45,55,43
Narathiwat,2016,44,25,24,12,5,24,41,60,61,111,103,72
Narathiwat,2017,81,68,47,12,22,24,19,20,27,15,18,16
Narathiwat,2018,25,14,11,7,10,13,15,51,29,80,78,22
Narathiwat,2019,21,33,19,26,19,62,118,97,55,85,57,29
Narathiwat,2020,33,14,3,2,5,12,31,32,32,17,15,4
Nong Bua Lam Phu,2011,1,1,0,1,3,13,10,3,1,0,0,0
Nong Bua Lam Phu,2012,0,2,3,4,28,29,28,15,7,6,10,9
Nong Bua Lam Phu,2013,12,20,37,48,71,97,72,56,8,1,0,0
Nong Bua Lam Phu,2014,0,5,8,3,3,4,15,13,8,1,0,1
Nong Bua Lam Phu,2015,0,2,1,0,10,30,17,6,10,7,14,5
Nong Bua Lam Phu,2016,7,3,10,8,1,11,12,24,24,7,2,0
Nong Bua Lam Phu,2017,0,0,2,1,13,11,20,13,6,3,2,1
Nong Bua Lam Phu,2018,0,2,2,5,27,54,18,11,11,6,5,4
Nong Bua Lam Phu,2019,5,4,5,7,24,57,66,39,22,17,17,5
Nong Bua Lam Phu,2020,5,3,12,26,14,27,49,4,7,1,0,0
Nong Khai,2011,2,0,0,0,2,29,18,24,7,1,5,0
Nong Khai,2012,1,1,1,1,3,19,1,7,8,3,5,9
Nong Khai,2013,5,10,3,14,60,109,273,140,40,11,0,0
Nong Khai,2014,1,3,3,2,6,63,61,25,1,1,0,0
Nong Khai,2015,0,1,6,5,7,27,32,24,23,23,14,4
Nong Khai,2016,9,16,10,5,2,8,11,17,16,2,4,0
Nong Khai,2017,0,0,2,3,11,20,22,18,9,8,5,6
Nong Khai,2018,1,0,1,3,19,33,27,10,10,8,7,8
Nong Khai,2019,12,2,23,46,41,47,115,68,73,62,34,5
Nong Khai,2020,11,8,8,20,32,99,137,78,19,4,2,4
Nonthaburi,2011,21,31,30,27,71,97,107,95,59,29,39,24
Nonthaburi,2012,16,13,19,10,11,18,27,59,75,69,75,59
Nonthaburi,2013,49,38,53,29,37,37,74,97,77,66,66,31
Nonthaburi,2014,26,14,13,5,9,7,7,8,38,20,19,23
Nonthaburi,2015,12,16,14,9,24,41,87,95,91,168,344,180
Nonthaburi,2016,101,26,22,7,11,13,24,39,26,32,33,20
Nonthaburi,2017,26,13,9,7,20,47,38,58,61,65,83,47
Nonthaburi,2018,20,18,32,62,114,213,185,154,102,93,107,83
Nonthaburi,2019,52,35,20,11,19,29,71,106,117,127,102,48
